Incident Year,Incident Month,Incident Day,Operator ID,Operator,Aircraft,Airport ID,Airport,State,Flight Phase,Visibility,Height,Speed,Distance,Species ID,Species Name,Species Quantity,Flight Impact
2010,1,1,BUS,BUSINESS,C-310,KPMP,POMPANO BEACH AIRPARK,FL,TAKEOFF RUN,DAY,0.0,30.0,0.0,NE1,GULL,1,ABORTED TAKEOFF
2010,1,1,JBU,JETBLUE AIRWAYS,A-320,KMCO,ORLANDO INTL,FL,TAKEOFF RUN,DAY,0.0,120.0,0.0,ZT3,GRACKLE,1,NONE
2010,1,2,SKW,SKYWEST AIRLINES,CRJ100/200,KSLC,SALT LAKE CITY INTL,UT,LANDING ROLL,DAY,0.0,80.0,0.0,YH004,HORNED LARK,1,NONE
2010,1,2,NWA,NORTHWEST AIRLINES,DC-9,KBWI,BALTIMORE/WASH INTL THURGOOD MARSHAL ARPT,MD,TAKEOFF RUN,DAY,0.0,140.0,0.0,K33,HAWK,1,NONE
2010,1,2,JBU,JETBLUE AIRWAYS,A-320,KMCO,ORLANDO INTL,FL,APPROACH,DAY,20.0,120.0,0.0,YI010,TREE SWALLOW,1,NONE
2010,1,2,SWA,SOUTHWEST AIRLINES,B-737-700,KPDX,PORTLAND INTL (OR),OR,APPROACH,NIGHT,700.0,140.0,2.0,J21,DUCK,1,NONE
2010,1,3,QXE,HORIZON AIR,CRJ700,KSMF,SACRAMENTO INTL,CA,APPROACH,NIGHT,3000.0,180.0,8.0,J2104,NORTHERN PINTAIL,1,NONE
2010,1,3,ASA,ALASKA AIRLINES,B-737-400,KSMF,SACRAMENTO INTL,CA,APPROACH,NIGHT,700.0,140.0,3.0,J2104,NORTHERN PINTAIL,1,NONE
2010,1,3,JBU,JETBLUE AIRWAYS,A-320,KJFK,JOHN F KENNEDY INTL,NY,CLIMB,DAWN,20.0,155.0,0.0,K3302,RED-TAILED HAWK,1,NONE
2010,1,3,BUS,BUSINESS,BE-200 KING,KHWD,HAYWARD EXECUTIVE ARPT,CA,APPROACH,DAY,1200.0,200.0,10.0,J2204,CANADA GOOSE,1,NONE
2010,1,4,SKW,SKYWEST AIRLINES,CRJ700,KSMF,SACRAMENTO INTL,CA,APPROACH,NIGHT,1500.0,146.0,7.0,J2109,MALLARD,1,NONE
