,Incident Year,Incident Month,Incident Day,Operator ID,Operator,Aircraft,Airport ID,Airport,State,Flight Phase,Visibility,Height,Speed,Distance,Species ID,Species Name,Species Quantity,Flight Impact,incident_date,Birdstrikes_N,name,elevation_ft,municipality,coordinates,long,lat,zipcode
0,2010,1,1,BUS,BUSINESS,C-310,KPMP,POMPANO BEACH AIRPARK,FL,TAKEOFF RUN,DAY,0.0,30.0,0.0,NE1,GULL,1,ABORTED TAKEOFF,2010-01-01,4,Pompano Beach Airpark,19.0,Pompano Beach,"-80.111099243164, 26.247100830078",-80.111099243164, 26.247100830078,33060
4,2010,1,1,JBU,JETBLUE AIRWAYS,A-320,KMCO,ORLANDO INTL,FL,TAKEOFF RUN,DAY,0.0,120.0,0.0,ZT3,GRACKLE,1,NONE,2010-01-01,214,Orlando International Airport,96.0,Orlando,"-81.30899810791016, 28.429399490356445",-81.30899810791016, 28.429399490356445,32827
574,2010,1,2,SWA,SOUTHWEST AIRLINES,B-737-700,KPDX,PORTLAND INTL (OR),OR,APPROACH,NIGHT,700.0,140.0,2.0,J21,DUCK,1,NONE,2010-01-02,69,Portland International Airport,31.0,Portland,"-122.5979996, 45.58869934",-122.5979996, 45.58869934,97218
341,2010,1,2,NWA,NORTHWEST AIRLINES,DC-9,KBWI,BALTIMORE/WASH INTL THURGOOD MARSHAL ARPT,MD,TAKEOFF RUN,DAY,0.0,140.0,0.0,K33,HAWK,1,NONE,2010-01-02,233,Baltimore/Washington International Thurgood Marshall Airport,146.0,Baltimore,"-76.668297, 39.1754",-76.668297, 39.1754,21240
218,2010,1,2,SKW,SKYWEST AIRLINES,CRJ100/200,KSLC,SALT LAKE CITY INTL,UT,LANDING ROLL,DAY,0.0,80.0,0.0,YH004,HORNED LARK,1,NONE,2010-01-02,123,Salt Lake City International Airport,4227.0,Salt Lake City,"-111.97799682617188, 40.78839874267578",-111.97799682617188, 40.78839874267578,84116
5,2010,1,2,JBU,JETBLUE AIRWAYS,A-320,KMCO,ORLANDO INTL,FL,APPROACH,DAY,20.0,120.0,0.0,YI010,TREE SWALLOW,1,NONE,2010-01-02,214,Orlando International Airport,96.0,Orlando,"-81.30899810791016, 28.429399490356445",-81.30899810791016, 28.429399490356445,32827
643,2010,1,3,QXE,HORIZON AIR,CRJ700,KSMF,SACRAMENTO INTL,CA,APPROACH,NIGHT,3000.0,180.0,8.0,J2104,NORTHERN PINTAIL,1,NONE,2010-01-03,347,Sacramento International Airport,27.0,Sacramento,"-121.59100341796875, 38.69540023803711",-121.59100341796875, 38.69540023803711,95837
644,2010,1,3,ASA,ALASKA AIRLINES,B-737-400,KSMF,SACRAMENTO INTL,CA,APPROACH,NIGHT,700.0,140.0,3.0,J2104,NORTHERN PINTAIL,1,NONE,2010-01-03,347,Sacramento International Airport,27.0,Sacramento,"-121.59100341796875, 38.69540023803711",-121.59100341796875, 38.69540023803711,95837
990,2010,1,3,JBU,JETBLUE AIRWAYS,A-320,KJFK,JOHN F KENNEDY INTL,NY,CLIMB,DAWN,20.0,155.0,0.0,K3302,RED-TAILED HAWK,1,NONE,2010-01-03,159,John F Kennedy International Airport,13.0,New York,"-73.7789, 40.639801",-73.7789, 40.639801,11430
1149,2010,1,3,BUS,BUSINESS,BE-200 KING,KHWD,HAYWARD EXECUTIVE ARPT,CA,APPROACH,DAY,1200.0,200.0,10.0,J2204,CANADA GOOSE,1,NONE,2010-01-03,5,Hayward Executive Airport,52.0,Hayward,"-122.122001648, 37.659198761",-122.122001648, 37.659198761,94541
645,2010,1,4,SKW,SKYWEST AIRLINES,CRJ700,KSMF,SACRAMENTO INTL,CA,APPROACH,NIGHT,1500.0,146.0,7.0,J2109,MALLARD,1,NONE,2010-01-04,347,Sacramento International Airport,27.0,Sacramento,"-121.59100341796875, 38.69540023803711",-121.59100341796875, 38.69540023803711,95837
646,2010,1,5,SWA,SOUTHWEST AIRLINES,B-737-700,KSMF,SACRAMENTO INTL,CA,CLIMB,DAY,1500.0,210.0,2.0,J2104,NORTHERN PINTAIL,2-10,PRECAUTIONARY LANDING,2010-01-05,347,Sacramento International Airport,27.0,Sacramento,"-121.59100341796875, 38.69540023803711",-121.59100341796875, 38.69540023803711,95837
647,2010,1,5,SWA,SOUTHWEST AIRLINES,B-737-300,KSMF,SACRAMENTO INTL,CA,APPROACH,NIGHT,1850.0,170.0,5.0,J2104,NORTHERN PINTAIL,2-10,NONE,2010-01-05,347,Sacramento International Airport,27.0,Sacramento,"-121.59100341796875, 38.69540023803711",-121.59100341796875, 38.69540023803711,95837
648,2010,1,5,SWA,SOUTHWEST AIRLINES,B-737-300,KSMF,SACRAMENTO INTL,CA,APPROACH,DAY,1300.0,140.0,3.0,J2104,NORTHERN PINTAIL,1,OTHER,2010-01-05,347,Sacramento International Airport,27.0,Sacramento,"-121.59100341796875, 38.69540023803711",-121.59100341796875, 38.69540023803711,95837
