,Incident Year,Incident Month,Incident Day,Operator ID,Operator,Aircraft,Airport ID,Airport,State,Flight Phase,Visibility,Height,Speed,Distance,Species ID,Species Name,Species Quantity,Flight Impact,incident_date,Birdstrikes_N,name,elevation_ft,municipality,coordinates,long,lat,zipcode,incident_date,prcp,avg_wind_speed
0,2010,1,1,BUS,BUSINESS,C-310,KPMP,POMPANO BEACH AIRPARK,FL,TAKEOFF RUN,DAY,0.0,30.0,0.0,NE1,GULL,1,ABORTED TAKEOFF,2010-01-01,4,Pompano Beach Airpark,19.0,Pompano Beach,"-80.111099243164, 26.247100830078",-80.111099243164, 26.247100830078,33060,2010-01-01,23,41
1,2010,1,1,JBU,JETBLUE AIRWAYS,A-320,KMCO,ORLANDO INTL,FL,TAKEOFF RUN,DAY,0.0,120.0,0.0,ZT3,GRACKLE,1,NONE,2010-01-01,214,Orlando International Airport,96.0,Orlando,"-81.30899810791016, 28.429399490356445",-81.30899810791016, 28.429399490356445,32827,2010-01-01,150,38
2,2010,1,2,SWA,SOUTHWEST AIRLINES,B-737-700,KPDX,PORTLAND INTL (OR),OR,APPROACH,NIGHT,700.0,140.0,2.0,J21,DUCK,1,NONE,2010-01-02,69,Portland International Airport,31.0,Portland,"-122.5979996, 45.58869934",-122.5979996, 45.58869934,97218,2010-01-02,0,37
3,2010,1,2,NWA,NORTHWEST AIRLINES,DC-9,KBWI,BALTIMORE/WASH INTL THURGOOD MARSHAL ARPT,MD,TAKEOFF RUN,DAY,0.0,140.0,0.0,K33,HAWK,1,NONE,2010-01-02,233,Baltimore/Washington International Thurgood Marshall Airport,146.0,Baltimore,"-76.668297, 39.1754",-76.668297, 39.1754,21240,2010-01-02,0,96
4,2010,1,2,SKW,SKYWEST AIRLINES,CRJ100/200,KSLC,SALT LAKE CITY INTL,UT,LANDING ROLL,DAY,0.0,80.0,0.0,YH004,HORNED LARK,1,NONE,2010-01-02,123,Salt Lake City International Airport,4227.0,Salt Lake City,"-111.97799682617188, 40.78839874267578",-111.97799682617188, 40.78839874267578,84116,2010-01-02,10,16
5,2010,1,2,JBU,JETBLUE AIRWAYS,A-320,KMCO,ORLANDO INTL,FL,APPROACH,DAY,20.0,120.0,0.0,YI010,TREE SWALLOW,1,NONE,2010-01-02,214,Orlando International Airport,96.0,Orlando,"-81.30899810791016, 28.429399490356445",-81.30899810791016, 28.429399490356445,32827,2010-01-02,0,48
6,2010,1,3,QXE,HORIZON AIR,CRJ700,KSMF,SACRAMENTO INTL,CA,APPROACH,NIGHT,3000.0,180.0,8.0,J2104,NORTHERN PINTAIL,1,NONE,2010-01-03,347,Sacramento International Airport,27.0,Sacramento,"-121.59100341796875, 38.69540023803711",-121.59100341796875, 38.69540023803711,95837,2010-01-03,3,5
7,2010,1,3,ASA,ALASKA AIRLINES,B-737-400,KSMF,SACRAMENTO INTL,CA,APPROACH,NIGHT,700.0,140.0,3.0,J2104,NORTHERN PINTAIL,1,NONE,2010-01-03,347,Sacramento International Airport,27.0,Sacramento,"-121.59100341796875, 38.69540023803711",-121.59100341796875, 38.69540023803711,95837,2010-01-03,3,5
8,2010,1,3,JBU,JETBLUE AIRWAYS,A-320,KJFK,JOHN F KENNEDY INTL,NY,CLIMB,DAWN,20.0,155.0,0.0,K3302,RED-TAILED HAWK,1,NONE,2010-01-03,159,John F Kennedy International Airport,13.0,New York,"-73.7789, 40.639801",-73.7789, 40.639801,11430,2010-01-03,0,114
9,2010,1,3,BUS,BUSINESS,BE-200 KING,KHWD,HAYWARD EXECUTIVE ARPT,CA,APPROACH,DAY,1200.0,200.0,10.0,J2204,CANADA GOOSE,1,NONE,2010-01-03,5,Hayward Executive Airport,52.0,Hayward,"-122.122001648, 37.659198761",-122.122001648, 37.659198761,94541,2010-01-03,0,23
10,2010,1,4,SKW,SKYWEST AIRLINES,CRJ700,KSMF,SACRAMENTO INTL,CA,APPROACH,NIGHT,1500.0,146.0,7.0,J2109,MALLARD,1,NONE,2010-01-04,347,Sacramento International Airport,27.0,Sacramento,"-121.59100341796875, 38.69540023803711",-121.59100341796875, 38.69540023803711,95837,2010-01-04,0,15
11,2010,1,5,SWA,SOUTHWEST AIRLINES,B-737-700,KSMF,SACRAMENTO INTL,CA,CLIMB,DAY,1500.0,210.0,2.0,J2104,NORTHERN PINTAIL,2-10,PRECAUTIONARY LANDING,2010-01-05,347,Sacramento International Airport,27.0,Sacramento,"-121.59100341796875, 38.69540023803711",-121.59100341796875, 38.69540023803711,95837,2010-01-05,3,9
12,2010,1,5,SWA,SOUTHWEST AIRLINES,B-737-300,KSMF,SACRAMENTO INTL,CA,APPROACH,NIGHT,1850.0,170.0,5.0,J2104,NORTHERN PINTAIL,2-10,NONE,2010-01-05,347,Sacramento International Airport,27.0,Sacramento,"-121.59100341796875, 38.69540023803711",-121.59100341796875, 38.69540023803711,95837,2010-01-05,3,9
13,2010,1,5,SWA,SOUTHWEST AIRLINES,B-737-300,KSMF,SACRAMENTO INTL,CA,APPROACH,DAY,1300.0,140.0,3.0,J2104,NORTHERN PINTAIL,1,OTHER,2010-01-05,347,Sacramento International Airport,27.0,Sacramento,"-121.59100341796875, 38.69540023803711",-121.59100341796875, 38.69540023803711,95837,2010-01-05,3,9
14,2010,1,5,HAL,HAWAIIAN AIR,B-767-300,KSMF,SACRAMENTO INTL,CA,APPROACH,NIGHT,1500.0,145.0,5.0,J2104,NORTHERN PINTAIL,1,NONE,2010-01-05,347,Sacramento International Airport,27.0,Sacramento,"-121.59100341796875, 38.69540023803711",-121.59100341796875, 38.69540023803711,95837,2010-01-05,3,9
15,2010,1,6,ATN,AIR TRANSPORT INTL,DC-8-70,KSJC,NORMAN Y. MINETA SAN JOSE INTL ARPT,CA,CLIMB,DUSK,8600.0,240.0,10.0,UNKBM,UNKNOWN MEDIUM BIRD,1,NONE,2010-01-06,112,Norman Y. Mineta San Jose International Airport,62.0,San Jose,"-121.929001, 37.362598",-121.929001, 37.362598,95110,2010-01-06,0,11
16,2010,1,6,SWA,SOUTHWEST AIRLINES,B-737-700,KSMF,SACRAMENTO INTL,CA,APPROACH,DAY,2000.0,195.0,10.0,J2104,NORTHERN PINTAIL,2-10,NONE,2010-01-06,347,Sacramento International Airport,27.0,Sacramento,"-121.59100341796875, 38.69540023803711",-121.59100341796875, 38.69540023803711,95837,2010-01-06,0,12
17,2010,1,6,SWA,SOUTHWEST AIRLINES,B-737-700,KSMF,SACRAMENTO INTL,CA,DESCENT,DAWN,2000.0,210.0,6.0,UNKBM,UNKNOWN MEDIUM BIRD,1,NONE,2010-01-06,347,Sacramento International Airport,27.0,Sacramento,"-121.59100341796875, 38.69540023803711",-121.59100341796875, 38.69540023803711,95837,2010-01-06,0,12
18,2010,1,6,JBU,JETBLUE AIRWAYS,A-320,KRSW,SOUTHWEST FLORIDA INTL ARPT,FL,TAKEOFF RUN,DAY,0.0,120.0,0.0,UNKBM,UNKNOWN MEDIUM BIRD,1,NONE,2010-01-06,181,Southwest Florida International Airport,30.0,Fort Myers,"-81.75520324707031, 26.53619956970215",-81.75520324707031, 26.53619956970215,33913,2010-01-06,0,26
19,2010,1,7,SWA,SOUTHWEST AIRLINES,B-737-700,KBWI,BALTIMORE/WASH INTL THURGOOD MARSHAL ARPT,MD,LANDING ROLL,DAY,0.0,80.0,0.0,K5114,AMERICAN KESTREL,1,NONE,2010-01-07,233,Baltimore/Washington International Thurgood Marshall Airport,146.0,Baltimore,"-76.668297, 39.1754",-76.668297, 39.1754,21240,2010-01-07,3,27
20,2010,1,7,SWA,SOUTHWEST AIRLINES,B-737-700,KFLL,FORT LAUDERDALE/HOLLYWOOD INTL,FL,APPROACH,DAY,600.0,139.0,2.0,K1002,TURKEY VULTURE,1,NONE,2010-01-07,165,Fort Lauderdale Hollywood International Airport,9.0,Fort Lauderdale,"-80.152702, 26.072599",-80.152702, 26.072599,33315,2010-01-07,0,19
