Airport ID,Birdstrikes_N
KDFW,668
KSMF,551
KDEN,544
KPHL,408
KBNA,374
KMEM,367
KMCO,366
KMCI,343
KBWI,328
KHOU,293
KSTL,289
KOMA,263
KRSW,263
KMDW,255
KAUS,254
KSLC,253
KDAL,251
KSFO,241
KORD,236
KFLL,235
KJFK,232
KMIA,220
KEWR,217
KCLT,202
KBOS,200
KOAK,195
KSJC,190
KSDF,187
KMSP,186
KLGA,186
KIAD,185
KCVG,181
KPIT,180
KBUF,173
PHLI,172
KLAX,167
KSAT,165
KMSY,162
KRDU,156
KMKE,155
KCLE,147
KSFB,145
PHTO,143
KBHM,141
KATL,141
PHNL,140
KIAH,139
KBDL,135
KIND,134
KPHX,128
KTPA,127
KJAX,126
KPDX,126
KMDT,117
KONT,105
