,Record ID,Incident Year,Incident Month,Incident Day,Operator ID,Operator,Aircraft,Aircraft Type,Aircraft Make,Aircraft Model,Airport ID,Airport,State,FAA Region,Flight Phase,Visibility,Precipitation,Height,Speed,Distance,Species ID,Species Name,Species Quantity,Flight Impact
32753,201559,2000,1,2,DAL,DELTA AIR LINES,B-737-300,A,148,24,KSLC,SALT LAKE CITY INTL,UT,ANM,LANDING ROLL,DAY,NONE,0.0,130.0,0.0,UNKBS,UNKNOWN SMALL BIRD,2-10,OTHER
32759,202643,2000,1,3,COM,COMAIR AIRLINES,EMB-120,A,332,11,KPNS,PENSACOLA INTL ARPT,FL,ASO,LANDING ROLL,DAY,NONE,0.0,100.0,0.0,YM11,CROW,2-10,NONE
32776,201103,2000,1,5,KAP,CAPE AIR,C-402,A,226,33,TJSJ,LUIS MUNOZ MARIN INTL,PR,ASO,LANDING ROLL,DAY,NONE,0.0,55.0,0.0,I13,EGRET,1,NONE
32781,202558,2000,1,6,SWA,SOUTHWEST AIRLINES,B-737,A,148,95,KMCI,KANSAS CITY INTL,MO,ACE,LANDING ROLL,DUSK,NONE,0.0,100.0,0.0,UNKBS,UNKNOWN SMALL BIRD,1,NONE
32783,207369,2000,1,6,TRS,AIRTRAN AIRWAYS,DC-9-30,A,583,21,KATL,HARTSFIELD - JACKSON ATLANTA INTL ARPT,GA,ASO,TAKEOFF RUN,DAY,NONE,0.0,80.0,0.0,O2111,ROCK PIGEON,2-10,ABORTED TAKEOFF
32787,204371,2000,1,7,AIH,AIRTOURS INTL,A-330,A,04A,4,KSFB,ORLANDO SANFORD INTL ARPT,FL,ASO,LANDING ROLL,DAY,NONE,0.0,100.0,0.0,UNKBS,UNKNOWN SMALL BIRD,2-10,NONE
32793,201681,2000,1,8,PVT,PRIVATELY OWNED,PA-28,A,729,23,KPUB,PUEBLO MEMORIAL ARPT,CO,ANM,LANDING ROLL,DUSK,NONE,0.0,45.0,0.0,1G12,MULE DEER,1,OTHER
32799,200470,2000,1,8,AAL,AMERICAN AIRLINES,B-727-200,A,148,11,KDFW,DALLAS/FORT WORTH INTL ARPT,TX,ASW,LANDING ROLL,DAY,NONE,0.0,110.0,0.0,UNKBM,UNKNOWN MEDIUM BIRD,2-10,NONE
32820,208032,2000,1,11,TWA,TRANS WORLD AIRLINES,MD-80,A,583,37,KCMH,PORT COLUMBUS INTL,OH,AGL,LANDING ROLL,DAY,NONE,0.0,100.0,0.0,UNKBM,UNKNOWN MEDIUM BIRD,1,NONE
32839,204254,2000,1,12,HAL,HAWAIIAN AIR,DC-9,A,583,90,PHLI,LIHUE ARPT,HI,AWP,LANDING ROLL,DUSK,NONE,0.0,130.0,0.0,ZY1,MUNIAS,1,NONE
